experimental_id,genome_assembly,antigen_class,antigen,cell_type_class,cell_type,no_peaks,no_assemblies_by_cell_type
SRX2339190,hg38,Histone,H3K27AC,Blood,B cells,28565,2
SRX753157,mm10,Histone,H3K27AC,Blood,B cells,48873,2
SRX212429,hg38,Histone,H3K27AC,Blood,CD4+ T cells,40418,2
SRX3067412,mm10,Histone,H3K27AC,Blood,CD4+ T cells,47268,2
SRX183902,hg38,Histone,H3K27AC,Blood,CD8+ T cells,26830,2
SRX3802591,mm10,Histone,H3K27AC,Blood,CD8+ T cells,40042,2
SRX1614814,hg38,Histone,H3K27AC,Blood,Dendritic Cells,30371,2
SRX099253,mm10,Histone,H3K27AC,Blood,Dendritic Cells,37070,2
SRX1089819,hg38,Histone,H3K27AC,Blood,Erythroblasts,30787,2
SRX6797037,mm10,Histone,H3K27AC,Blood,Erythroblasts,48022,2
SRX1089818,hg38,Histone,H3K27AC,Blood,Hematopoietic Stem Cells,36645,2
SRX1293140,mm10,Histone,H3K27AC,Blood,Hematopoietic Stem Cells,50366,2
SRX1733637,hg38,Histone,H3K27AC,Blood,Macrophages,60430,2
SRX150851,mm10,Histone,H3K27AC,Blood,Macrophages,55517,2
SRX3421773,hg38,Histone,H3K27AC,Blood,Mast Cells,49773,2
SRX1456419,mm10,Histone,H3K27AC,Blood,Mast Cells,52798,2
SRX3734310,hg38,Histone,H3K27AC,Breast,Mammary glands,59366,2
SRX4169575,mm10,Histone,H3K27AC,Breast,Mammary glands,59891,2
SRX5376045,hg38,Histone,H3K27AC,Cardiovascular,Heart Ventricles,56685,2
SRX1308280,mm10,Histone,H3K27AC,Cardiovascular,Heart Ventricles,60767,2
SRX2869673,hg38,Histone,H3K27AC,Liver,Hepatocytes,56707,2
SRX4051363,mm10,Histone,H3K27AC,Liver,Hepatocytes,34374,2
SRX5806022,hg38,Histone,H3K27AC,Neural,Cerebellum,61308,2
SRX545938,mm10,Histone,H3K27AC,Neural,Cerebellum,45569,2
SRX4668969,hg38,Histone,H3K27AC,Neural,Neural Stem Cells,50099,2
ERX190775,mm10,Histone,H3K27AC,Neural,Neural Stem Cells,31834,2
SRX2911564,hg38,Histone,H3K27AC,Neural,Neuroblastoma,47362,2
SRX2960255,mm10,Histone,H3K27AC,Neural,Neuroblastoma,50865,2
ERX2078878,hg38,Histone,H3K27AC,Pancreas,Pancreatic adenocarcinoma,31801,2
SRX8026858,mm10,Histone,H3K27AC,Pancreas,Pancreatic adenocarcinoma,50325,2
