method	histone_mark	cell_class	cell_type	full_title	transition	metric	value
adda	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	accuracy	0.72246
afn	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	accuracy	0.7294499999999999
cdan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	accuracy	0.72563
dan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	accuracy	0.73577
dann	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	accuracy	0.7198699999999999
jan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	accuracy	0.7200700000000001
mcc	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	accuracy	0.78554
mcd	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	accuracy	0.75208
mdd	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	accuracy	0.73155
src_only	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	accuracy	0.76274
adda	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	pr_auc	0.8055500000000001
afn	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	pr_auc	0.83073
cdan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	pr_auc	0.77305
dan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	pr_auc	0.8521899999999999
dann	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	pr_auc	0.78271
jan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	pr_auc	0.82474
mcc	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	pr_auc	0.89117
mcd	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	pr_auc	0.8610099999999999
mdd	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	pr_auc	0.8506999999999999
src_only	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	pr_auc	0.8672799999999999
adda	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	roc_auc	0.8001900000000001
afn	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	roc_auc	0.81771
cdan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	roc_auc	0.80813
dan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	roc_auc	0.8394799999999999
dann	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	roc_auc	0.81033
jan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	roc_auc	0.81971
mcc	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	roc_auc	0.8792
mcd	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	roc_auc	0.84586
