method,transition,metric,variable,value
adda,dm6->mm10,accuracy,better_count,0
adda,dm6->mm10,pr_auc,better_count,0
adda,dm6->mm10,roc_auc,better_count,0
adda,hg38->mm10,accuracy,better_count,5
adda,hg38->mm10,pr_auc,better_count,2
adda,hg38->mm10,roc_auc,better_count,4
adda,hg38->dm6,accuracy,better_count,2
adda,hg38->dm6,pr_auc,better_count,1
adda,hg38->dm6,roc_auc,better_count,2
adda,dm6->hg38,accuracy,better_count,0
adda,dm6->hg38,pr_auc,better_count,0
adda,dm6->hg38,roc_auc,better_count,1
adda,mm10->hg38,accuracy,better_count,2
adda,mm10->hg38,pr_auc,better_count,1
adda,mm10->hg38,roc_auc,better_count,2
adda,mm10->dm6,accuracy,better_count,3
adda,mm10->dm6,pr_auc,better_count,2
adda,mm10->dm6,roc_auc,better_count,1
afn,dm6->mm10,accuracy,better_count,1
afn,dm6->mm10,pr_auc,better_count,1
afn,dm6->mm10,roc_auc,better_count,1
afn,hg38->mm10,accuracy,better_count,15
afn,hg38->mm10,pr_auc,better_count,10
afn,hg38->mm10,roc_auc,better_count,11
afn,hg38->dm6,accuracy,better_count,2
afn,hg38->dm6,pr_auc,better_count,2
afn,hg38->dm6,roc_auc,better_count,1
afn,dm6->hg38,accuracy,better_count,1
afn,dm6->hg38,pr_auc,better_count,1
afn,dm6->hg38,roc_auc,better_count,1
afn,mm10->hg38,accuracy,better_count,4
afn,mm10->hg38,pr_auc,better_count,6
afn,mm10->hg38,roc_auc,better_count,6
afn,mm10->dm6,accuracy,better_count,0
afn,mm10->dm6,pr_auc,better_count,3
afn,mm10->dm6,roc_auc,better_count,2
cdan,dm6->mm10,accuracy,better_count,0
cdan,dm6->mm10,pr_auc,better_count,0
cdan,dm6->mm10,roc_auc,better_count,0
cdan,hg38->mm10,accuracy,better_count,9
cdan,hg38->mm10,pr_auc,better_count,4
cdan,hg38->mm10,roc_auc,better_count,4
cdan,hg38->dm6,accuracy,better_count,0
cdan,hg38->dm6,pr_auc,better_count,0
cdan,hg38->dm6,roc_auc,better_count,0
cdan,dm6->hg38,accuracy,better_count,0
cdan,dm6->hg38,pr_auc,better_count,0
cdan,dm6->hg38,roc_auc,better_count,0
cdan,mm10->hg38,accuracy,better_count,5
cdan,mm10->hg38,pr_auc,better_count,2
cdan,mm10->hg38,roc_auc,better_count,5
cdan,mm10->dm6,accuracy,better_count,3
cdan,mm10->dm6,pr_auc,better_count,3
cdan,mm10->dm6,roc_auc,better_count,3
dan,dm6->mm10,accuracy,better_count,0
dan,dm6->mm10,pr_auc,better_count,0
dan,dm6->mm10,roc_auc,better_count,0
dan,hg38->mm10,accuracy,better_count,31
dan,hg38->mm10,pr_auc,better_count,26
dan,hg38->mm10,roc_auc,better_count,30
dan,hg38->dm6,accuracy,better_count,1
dan,hg38->dm6,pr_auc,better_count,1
dan,hg38->dm6,roc_auc,better_count,1
dan,dm6->hg38,accuracy,better_count,0
dan,dm6->hg38,pr_auc,better_count,2
dan,dm6->hg38,roc_auc,better_count,1
dan,mm10->hg38,accuracy,better_count,3
dan,mm10->hg38,pr_auc,better_count,4
dan,mm10->hg38,roc_auc,better_count,6
dan,mm10->dm6,accuracy,better_count,3
dan,mm10->dm6,pr_auc,better_count,3
dan,mm10->dm6,roc_auc,better_count,3
dann,dm6->mm10,accuracy,better_count,0
dann,dm6->mm10,pr_auc,better_count,0
dann,dm6->mm10,roc_auc,better_count,0
dann,hg38->mm10,accuracy,better_count,5
dann,hg38->mm10,pr_auc,better_count,2
dann,hg38->mm10,roc_auc,better_count,3
dann,hg38->dm6,accuracy,better_count,0
dann,hg38->dm6,pr_auc,better_count,0
dann,hg38->dm6,roc_auc,better_count,0
